name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired last 24 hours,1,0,0,0,1,0,0,0,0,2021-03-13,2021-03-13T23:15:31Z
Overseas acquired last 24 hours,10,0,1,0,3,5,0,0,1,2021-03-13,2021-03-13T23:15:31Z
Active cases,115,5,51,0,40,7,0,3,9,2021-03-13,2021-03-13T23:15:31Z
Total cases,29112,123,5234,105,1379,631,234,20483,923,2021-03-13,2021-03-13T23:15:31Z
Total deaths,909,3,54,0,6,4,13,820,9,2021-03-13,2021-03-13T23:15:31Z
Overseas,6747,94,3057,101,1071,443,85,1073,823,2021-03-13,2021-03-13T23:15:31Z
Locally acquired - contact of confirmed case,17933,25,1641,2,244,152,141,15648,80,2021-03-13,2021-03-13T23:15:31Z
Locally acquired - unknown contact,4277,1,446,0,41,9,5,3762,13,2021-03-13,2021-03-13T23:15:31Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-03-13,2021-03-13T23:15:31Z
Under investigation,1,0,0,0,0,1,0,0,0,2021-03-13,2021-03-13T23:15:31Z
Tests in last 7 days,271458,3514,77357,5160,41466,19586,3672,101960,18743,2021-03-13,2021-03-13T23:15:31Z
"Tests in last 7 days per 100,000 population",1071,825,957,2097,814,1118,687,1546,715,2021-03-13,2021-03-13T23:15:31Z
Total tests conducted,14871900,178877,5164144,135033,2033312,1125960,181081,5155517,897976,2021-03-13,2021-03-13T23:15:31Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-03-13,2021-03-13T23:15:31Z
