name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Active cases,237,0,94,48,18,25,0,23,29,2021-04-24,2021-04-24T23:19:02Z
Locally acquired last 24 hours,2,0,0,0,0,0,0,1,1,2021-04-24,2021-04-24T23:19:02Z
Overseas acquired last 24 hours,15,0,1,10,1,1,0,1,1,2021-04-24,2021-04-24T23:19:02Z
Under investigation last 24 hours,3,0,0,0,2,1,0,0,0,2021-04-24,2021-04-24T23:19:02Z
Locally acquired last 7 days,4,0,0,0,0,0,0,1,3,2021-04-24,2021-04-24T23:19:02Z
Overseas acquired last 7 days,139,0,49,40,8,15,0,13,14,2021-04-24,2021-04-24T23:19:02Z
Under investigation last 7 days,4,0,0,0,2,2,0,0,0,2021-04-24,2021-04-24T23:19:02Z
Overseas,7261,94,3236,155,1197,516,85,1097,881,2021-04-24,2021-04-24T23:19:02Z
Locally acquired - contact of confirmed case,17957,25,1643,2,264,152,141,15648,82,2021-04-24,2021-04-24T23:19:02Z
Locally acquired - unknown contact,4283,1,450,0,41,9,5,3763,14,2021-04-24,2021-04-24T23:19:02Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-04-24,2021-04-24T23:19:02Z
Under investigation,3,0,0,0,2,1,0,0,0,2021-04-24,2021-04-24T23:19:02Z
Total cases,29658,123,5419,159,1527,704,234,20508,984,2021-04-24,2021-04-24T23:19:02Z
Total deaths,910,3,54,0,7,4,13,820,9,2021-04-24,2021-04-24T23:19:02Z
Tests in last 7 days,223017,2260,62300,6148,33402,18962,3831,79484,16630,2021-04-24,2021-04-24T23:19:02Z
"Tests in last 7 days per 100,000 population",879,530,771,2498,656,1082,717,1205,634,2021-04-24,2021-04-24T23:19:02Z
Total tests,16556444,197683,5586520,171612,2430383,1246634,207890,5716612,999110,2021-04-24,2021-04-24T23:19:02Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-04-24,2021-04-24T23:19:02Z
