name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,0,0,0,0,0,0,0,0,0,2021-04-11,2021-04-11T23:19:27Z
Overseas acquired last 24 hours,9,0,6,0,0,1,0,0,2,2021-04-11,2021-04-11T23:19:27Z
Active cases,132,0,47,5,63,5,0,1,11,2021-04-11,2021-04-11T23:19:27Z
Total cases,29405,123,5330,112,1502,666,234,20485,953,2021-04-11,2021-04-11T23:19:27Z
Total deaths,909,3,54,0,6,4,13,820,9,2021-04-11,2021-04-11T23:19:27Z
Overseas,7019,94,3150,108,1175,479,85,1075,853,2021-04-11,2021-04-11T23:19:27Z
Locally acquired - contact of confirmed case,17949,25,1640,2,263,152,141,15647,79,2021-04-11,2021-04-11T23:19:27Z
Locally acquired - unknown contact,4283,1,450,0,41,9,5,3763,14,2021-04-11,2021-04-11T23:19:27Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-04-11,2021-04-11T23:19:27Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-04-11,2021-04-11T23:19:27Z
Tests in last 7 days,248170,2567,60053,5857,54097,22515,3993,83049,16039,2021-04-11,2021-04-11T23:19:27Z
"Tests in last 7 days per 100,000 population",979,602,743,2380,1062,1285,747,1259,612,2021-04-11,2021-04-11T23:19:27Z
Total tests conducted,16113569,193180,5469526,160350,2359671,1209621,200390,5557708,963123,2021-04-11,2021-04-11T23:19:27Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-04-11,2021-04-11T23:19:27Z
