name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,0,0,0,0,0,0,0,0,0,2021-04-17,2021-04-17T23:17:40Z
Overseas acquired last 24 hours,21,0,7,6,1,4,0,2,1,2021-04-17,2021-04-17T23:17:40Z
Active cases,154,0,67,11,36,13,0,10,17,2021-04-17,2021-04-17T23:17:40Z
Total cases,29505,123,5370,119,1516,682,234,20494,967,2021-04-17,2021-04-17T23:17:40Z
Total deaths,910,3,54,0,7,4,13,820,9,2021-04-17,2021-04-17T23:17:40Z
Overseas,7118,94,3190,115,1188,495,85,1084,867,2021-04-17,2021-04-17T23:17:40Z
Locally acquired - contact of confirmed case,17950,25,1640,2,264,152,141,15647,79,2021-04-17,2021-04-17T23:17:40Z
Locally acquired - unknown contact,4283,1,450,0,41,9,5,3763,14,2021-04-17,2021-04-17T23:17:40Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-04-17,2021-04-17T23:17:40Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-04-17,2021-04-17T23:17:40Z
Tests in last 7 days,250103,2439,62621,5662,43020,21476,4088,91440,19357,2021-04-17,2021-04-17T23:17:40Z
"Tests in last 7 days per 100,000 population",986,572,774,2301,845,1226,765,1387,738,2021-04-17,2021-04-17T23:17:40Z
Total tests conducted,16333427,195423,5524220,165464,2396981,1227672,204059,5637128,982480,2021-04-17,2021-04-17T23:17:40Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-04-17,2021-04-17T23:17:40Z
