name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,0,0,0,0,0,0,0,0,0,2021-04-16,2021-04-16T23:18:05Z
Overseas acquired last 24 hours,14,0,7,0,5,1,0,0,1,2021-04-16,2021-04-16T23:18:05Z
Active cases,143,0,61,5,43,9,0,8,17,2021-04-16,2021-04-16T23:18:05Z
Total cases,29484,123,5363,113,1515,678,234,20492,966,2021-04-16,2021-04-16T23:18:05Z
Total deaths,910,3,54,0,7,4,13,820,9,2021-04-16,2021-04-16T23:18:05Z
Overseas,7097,94,3183,109,1187,491,85,1082,866,2021-04-16,2021-04-16T23:18:05Z
Locally acquired - contact of confirmed case,17950,25,1640,2,264,152,141,15647,79,2021-04-16,2021-04-16T23:18:05Z
Locally acquired - unknown contact,4283,1,450,0,41,9,5,3763,14,2021-04-16,2021-04-16T23:18:05Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-04-16,2021-04-16T23:18:05Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-04-16,2021-04-16T23:18:05Z
Tests in last 7 days,254594,2528,62544,5626,45617,21884,4328,92710,19357,2021-04-16,2021-04-16T23:18:05Z
"Tests in last 7 days per 100,000 population",1004,593,774,2286,896,1249,810,1406,738,2021-04-16,2021-04-16T23:18:05Z
Total tests conducted,16303749,195169,5515457,164669,2392153,1224963,203559,5625299,982480,2021-04-16,2021-04-16T23:18:05Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-04-16,2021-04-16T23:18:05Z
