name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,1,0,1,0,0,0,0,0,0,2021-03-17,2021-03-17T23:15:49Z
Overseas acquired last 24 hours,16,0,6,1,6,2,0,0,1,2021-03-17,2021-03-17T23:15:49Z
Active cases,120,5,52,1,35,14,0,2,11,2021-03-17,2021-03-17T23:15:49Z
Total cases,29153,123,5248,106,1394,638,234,20483,927,2021-03-17,2021-03-17T23:15:49Z
Total deaths,909,3,54,0,6,4,13,820,9,2021-03-17,2021-03-17T23:15:49Z
Overseas,6786,94,3069,102,1085,451,85,1073,827,2021-03-17,2021-03-17T23:15:49Z
Locally acquired - contact of confirmed case,17934,25,1642,2,245,152,141,15648,79,2021-03-17,2021-03-17T23:15:49Z
Locally acquired - unknown contact,4279,1,447,0,41,9,5,3762,14,2021-03-17,2021-03-17T23:15:49Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-03-17,2021-03-17T23:15:49Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-03-17,2021-03-17T23:15:49Z
Tests in last 7 days,282822,3552,73159,5768,47375,20939,3989,110658,17382,2021-03-17,2021-03-17T23:15:49Z
"Tests in last 7 days per 100,000 population",1115,834,905,2344,930,1195,746,1678,663,2021-03-17,2021-03-17T23:15:49Z
Total tests conducted,15021707,180800,5202124,138459,2060035,1136338,182995,5210697,910259,2021-03-17,2021-03-17T23:15:49Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-03-17,2021-03-17T23:15:49Z
