name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,0,0,0,0,0,0,0,0,0,2021-04-13,2021-04-13T23:17:45Z
Overseas acquired last 24 hours,18,0,5,0,2,8,0,0,3,2021-04-13,2021-04-13T23:17:45Z
Active cases,142,0,56,4,55,13,0,3,11,2021-04-13,2021-04-13T23:17:45Z
Total cases,29437,123,5344,112,1506,674,234,20487,957,2021-04-13,2021-04-13T23:17:45Z
Total deaths,910,3,54,0,7,4,13,820,9,2021-04-13,2021-04-13T23:17:45Z
Overseas,7050,94,3164,108,1178,487,85,1077,857,2021-04-13,2021-04-13T23:17:45Z
Locally acquired - contact of confirmed case,17950,25,1640,2,264,152,141,15647,79,2021-04-13,2021-04-13T23:17:45Z
Locally acquired - unknown contact,4283,1,450,0,41,9,5,3763,14,2021-04-13,2021-04-13T23:17:45Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-04-13,2021-04-13T23:17:45Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-04-13,2021-04-13T23:17:45Z
Tests in last 7 days,253341,2841,59969,6358,50321,22355,4167,88460,18870,2021-04-13,2021-04-13T23:17:45Z
"Tests in last 7 days per 100,000 population",999,667,742,2583,988,1276,779,1342,720,2021-04-13,2021-04-13T23:17:45Z
Total tests conducted,16174398,193948,5482234,161813,2368757,1214869,201286,5577549,973942,2021-04-13,2021-04-13T23:17:45Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-04-13,2021-04-13T23:17:45Z
