name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Active cases,292,1,129,49,28,33,0,24,28,2021-04-30,2021-04-30T23:16:50Z
Locally acquired last 24 hours,0,0,0,0,0,0,0,0,0,2021-04-30,2021-04-30T23:16:50Z
Overseas acquired last 24 hours,21,0,13,1,3,1,0,2,1,2021-04-30,2021-04-30T23:16:50Z
Under investigation last 24 hours,2,0,0,0,0,2,0,0,0,2021-04-30,2021-04-30T23:16:50Z
Locally acquired last 7 days,3,0,0,0,0,0,0,1,2,2021-04-30,2021-04-30T23:16:50Z
Overseas acquired last 7 days,143,1,59,17,23,17,0,11,15,2021-04-30,2021-04-30T23:16:50Z
Under investigation last 7 days,11,0,0,0,2,9,0,0,0,2021-04-30,2021-04-30T23:16:50Z
Overseas,7403,95,3293,162,1231,535,85,1107,895,2021-04-30,2021-04-30T23:16:50Z
Locally acquired - contact of confirmed case,17959,25,1644,2,264,152,141,15648,83,2021-04-30,2021-04-30T23:16:50Z
Locally acquired - unknown contact,4283,1,450,0,41,9,5,3763,14,2021-04-30,2021-04-30T23:16:50Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-04-30,2021-04-30T23:16:50Z
Under investigation,2,0,0,0,0,2,0,0,0,2021-04-30,2021-04-30T23:16:50Z
Total cases,29801,124,5477,166,1559,724,234,20518,999,2021-04-30,2021-04-30T23:16:50Z
Total deaths,910,3,54,0,7,4,13,820,9,2021-04-30,2021-04-30T23:16:50Z
Tests in last 7 days,327165,2241,69378,6573,36837,24138,4222,114894,68882,2021-04-30,2021-04-30T23:16:50Z
"Tests in last 7 days per 100,000 population",1290,526,858,2671,723,1377,790,1742,2627,2021-04-30,2021-04-30T23:16:50Z
Total tests,16849538,199705,5647330,177322,2458965,1268333,211464,5818427,1067992,2021-04-30,2021-04-30T23:16:50Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-04-30,2021-04-30T23:16:50Z
