name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,0,0,0,0,0,0,0,0,0,2021-04-07,2021-04-07T23:22:05Z
Overseas acquired last 24 hours,14,0,6,0,6,1,0,0,1,2021-04-07,2021-04-07T23:22:05Z
Active cases,151,0,47,6,70,9,0,1,18,2021-04-07,2021-04-07T23:22:05Z
Total cases,29379,123,5316,112,1497,662,234,20484,951,2021-04-07,2021-04-07T23:22:05Z
Total deaths,909,3,54,0,6,4,13,820,9,2021-04-07,2021-04-07T23:22:05Z
Overseas,6993,94,3136,108,1170,475,85,1074,851,2021-04-07,2021-04-07T23:22:05Z
Locally acquired - contact of confirmed case,17950,25,1640,2,263,152,141,15648,79,2021-04-07,2021-04-07T23:22:05Z
Locally acquired - unknown contact,4282,1,450,0,41,9,5,3762,14,2021-04-07,2021-04-07T23:22:05Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-04-07,2021-04-07T23:22:05Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-04-07,2021-04-07T23:22:05Z
Tests in last 7 days,340398,3357,77897,5980,131130,19980,5739,83090,13225,2021-04-07,2021-04-07T23:22:05Z
"Tests in last 7 days per 100,000 population",1342,788,963,2430,2575,1140,1074,1260,504,2021-04-07,2021-04-07T23:22:05Z
Total tests conducted,15953618,191765,5427141,157018,2326788,1195026,197555,5500835,957490,2021-04-07,2021-04-07T23:22:05Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-04-07,2021-04-07T23:22:05Z
