name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,0,0,0,0,0,0,0,0,0,2021-04-19,2021-04-19T23:18:38Z
Overseas acquired last 24 hours,24,0,8,4,0,6,0,4,2,2021-04-19,2021-04-19T23:18:38Z
Active cases,173,0,76,12,27,19,0,14,25,2021-04-19,2021-04-19T23:18:38Z
Total cases,29543,123,5384,123,1518,688,234,20498,975,2021-04-19,2021-04-19T23:18:38Z
Total deaths,910,3,54,0,7,4,13,820,9,2021-04-19,2021-04-19T23:18:38Z
Overseas,7153,94,3201,119,1190,501,85,1088,875,2021-04-19,2021-04-19T23:18:38Z
Locally acquired - contact of confirmed case,17953,25,1643,2,264,152,141,15647,79,2021-04-19,2021-04-19T23:18:38Z
Locally acquired - unknown contact,4283,1,450,0,41,9,5,3763,14,2021-04-19,2021-04-19T23:18:38Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-04-19,2021-04-19T23:18:38Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-04-19,2021-04-19T23:18:38Z
Tests in last 7 days,240217,2315,63250,6086,40327,19958,4082,86490,17709,2021-04-19,2021-04-19T23:18:38Z
"Tests in last 7 days per 100,000 population",947,543,782,2473,792,1139,764,1312,675,2021-04-19,2021-04-19T23:18:38Z
Total tests conducted,16386103,195806,5539974,167076,2403776,1232250,204827,5653701,988693,2021-04-19,2021-04-19T23:18:38Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-04-19,2021-04-19T23:18:38Z
