name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,0,0,0,0,0,0,0,0,0,2021-03-20,2021-03-20T23:15:59Z
Overseas acquired last 24 hours,9,0,3,0,4,1,0,0,1,2021-03-20,2021-03-20T23:15:59Z
Active cases,149,4,55,1,58,16,0,2,13,2021-03-20,2021-03-20T23:15:59Z
Total cases,29192,123,5259,106,1415,642,234,20483,930,2021-03-20,2021-03-20T23:15:59Z
Total deaths,909,3,54,0,6,4,13,820,9,2021-03-20,2021-03-20T23:15:59Z
Overseas,6825,94,3080,102,1106,455,85,1073,830,2021-03-20,2021-03-20T23:15:59Z
Locally acquired - contact of confirmed case,17935,25,1643,2,245,152,141,15648,79,2021-03-20,2021-03-20T23:15:59Z
Locally acquired - unknown contact,4278,1,446,0,41,9,5,3762,14,2021-03-20,2021-03-20T23:15:59Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-03-20,2021-03-20T23:15:59Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-03-20,2021-03-20T23:15:59Z
Tests in last 7 days,280422,3237,74276,5891,49943,18481,4030,107003,17561,2021-03-20,2021-03-20T23:15:59Z
"Tests in last 7 days per 100,000 population",1106,760,919,2394,981,1055,754,1623,670,2021-03-20,2021-03-20T23:15:59Z
Total tests conducted,15152322,182114,5238420,140924,2083255,1144441,185111,5262520,915537,2021-03-20,2021-03-20T23:15:59Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-03-20,2021-03-20T23:15:59Z
