name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,1,0,0,0,1,0,0,0,0,2021-04-03,2021-04-03T23:19:42Z
Overseas acquired last 24 hours,3,0,3,0,0,0,0,0,0,2021-04-03,2021-04-03T23:19:42Z
Active cases,153,0,39,5,82,12,0,1,14,2021-04-03,2021-04-03T23:19:42Z
Total cases,29341,123,5299,111,1488,658,234,20484,944,2021-04-03,2021-04-03T23:19:42Z
Total deaths,909,3,54,0,6,4,13,820,9,2021-04-03,2021-04-03T23:19:42Z
Overseas,6955,94,3119,107,1161,471,85,1074,844,2021-04-03,2021-04-03T23:19:42Z
Locally acquired - contact of confirmed case,17950,25,1641,2,262,152,141,15648,79,2021-04-03,2021-04-03T23:19:42Z
Locally acquired - unknown contact,4282,1,449,0,42,9,5,3762,14,2021-04-03,2021-04-03T23:19:42Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-04-03,2021-04-03T23:19:42Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-04-03,2021-04-03T23:19:42Z
Tests in last 7 days,429966,5936,94917,7182,166876,24388,6788,107970,15909,2021-04-03,2021-04-03T23:19:42Z
"Tests in last 7 days per 100,000 population",1696,1393,1174,2918,3277,1392,1270,1637,607,2021-04-03,2021-04-03T23:19:42Z
Total tests conducted,15833044,190392,5403224,153909,2291563,1185770,196019,5465083,947084,2021-04-03,2021-04-03T23:19:42Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-04-03,2021-04-03T23:19:42Z
