name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,1,0,0,0,1,0,0,0,0,2021-03-27,2021-03-27T23:18:36Z
Overseas acquired last 24 hours,11,0,3,0,5,3,0,0,0,2021-03-27,2021-03-27T23:18:36Z
Active cases,153,1,59,0,69,14,0,0,10,2021-03-27,2021-03-27T23:18:36Z
Total cases,29252,123,5281,106,1443,648,234,20483,934,2021-03-27,2021-03-27T23:18:36Z
Total deaths,909,3,54,0,6,4,13,820,9,2021-03-27,2021-03-27T23:18:36Z
Overseas,6883,94,3102,102,1132,461,85,1073,834,2021-03-27,2021-03-27T23:18:36Z
Locally acquired - contact of confirmed case,17937,25,1644,2,246,152,141,15648,79,2021-03-27,2021-03-27T23:18:36Z
Locally acquired - unknown contact,4278,1,445,0,42,9,5,3762,14,2021-03-27,2021-03-27T23:18:36Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-03-27,2021-03-27T23:18:36Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-03-27,2021-03-27T23:18:36Z
Tests in last 7 days,250756,2342,69887,5803,41432,16941,4120,94593,15638,2021-03-27,2021-03-27T23:18:36Z
"Tests in last 7 days per 100,000 population",989,550,864,2358,814,967,771,1435,596,2021-03-27,2021-03-27T23:18:36Z
Total tests conducted,15403078,184456,5308307,146727,2124687,1161382,189231,5357113,931175,2021-03-27,2021-03-27T23:18:36Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-03-27,2021-03-27T23:18:36Z
