name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired last 24 hours,0,0,0,0,0,0,0,0,0,2021-03-14,2021-03-14T23:15:23Z
Overseas acquired last 24 hours,5,0,3,0,1,0,0,0,1,2021-03-14,2021-03-14T23:15:23Z
Active cases,117,5,52,0,42,7,0,2,9,2021-03-14,2021-03-14T23:15:23Z
Total cases,29117,123,5237,105,1380,631,234,20483,924,2021-03-14,2021-03-14T23:15:23Z
Total deaths,909,3,54,0,6,4,13,820,9,2021-03-14,2021-03-14T23:15:23Z
Overseas,6753,94,3060,101,1072,444,85,1073,824,2021-03-14,2021-03-14T23:15:23Z
Locally acquired - contact of confirmed case,17933,25,1641,2,244,152,141,15648,80,2021-03-14,2021-03-14T23:15:23Z
Locally acquired - unknown contact,4277,1,446,0,41,9,5,3762,13,2021-03-14,2021-03-14T23:15:23Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-03-14,2021-03-14T23:15:23Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-03-14,2021-03-14T23:15:23Z
Tests in last 7 days,272465,3422,76899,5214,42382,19875,3612,102318,18743,2021-03-14,2021-03-14T23:15:23Z
"Tests in last 7 days per 100,000 population",1074,803,951,2119,832,1134,676,1552,715,2021-03-14,2021-03-14T23:15:23Z
Total tests conducted,14901292,179155,5173413,135564,2038338,1128527,181420,5166899,897976,2021-03-14,2021-03-14T23:15:23Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-03-14,2021-03-14T23:15:23Z
