name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,0,0,0,0,0,0,0,0,0,2021-03-18,2021-03-18T23:15:28Z
Overseas acquired last 24 hours,12,0,3,0,8,1,0,0,0,2021-03-18,2021-03-18T23:15:28Z
Active cases,126,5,52,1,41,15,0,2,10,2021-03-18,2021-03-18T23:15:28Z
Total cases,29166,123,5251,106,1402,640,234,20483,927,2021-03-18,2021-03-18T23:15:28Z
Total deaths,909,3,54,0,6,4,13,820,9,2021-03-18,2021-03-18T23:15:28Z
Overseas,6799,94,3072,102,1093,453,85,1073,827,2021-03-18,2021-03-18T23:15:28Z
Locally acquired - contact of confirmed case,17935,25,1643,2,245,152,141,15648,79,2021-03-18,2021-03-18T23:15:28Z
Locally acquired - unknown contact,4278,1,446,0,41,9,5,3762,14,2021-03-18,2021-03-18T23:15:28Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-03-18,2021-03-18T23:15:28Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-03-18,2021-03-18T23:15:28Z
Tests in last 7 days,282307,3386,73073,5682,46916,20120,3942,111909,17279,2021-03-18,2021-03-18T23:15:28Z
"Tests in last 7 days per 100,000 population",1113,795,904,2309,921,1148,737,1697,659,2021-03-18,2021-03-18T23:15:28Z
Total tests conducted,15072203,181296,5216173,139289,2067609,1139341,183774,5231987,912734,2021-03-18,2021-03-18T23:15:28Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-03-18,2021-03-18T23:15:28Z
