name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,0,0,0,0,0,0,0,0,0,2021-04-04,2021-04-04T23:19:30Z
Overseas acquired last 24 hours,6,0,1,1,1,0,0,0,3,2021-04-04,2021-04-04T23:19:30Z
Active cases,145,0,36,6,74,12,0,1,16,2021-04-04,2021-04-04T23:19:30Z
Total cases,29348,123,5300,112,1489,659,234,20484,947,2021-04-04,2021-04-04T23:19:30Z
Total deaths,909,3,54,0,6,4,13,820,9,2021-04-04,2021-04-04T23:19:30Z
Overseas,6962,94,3120,108,1162,472,85,1074,847,2021-04-04,2021-04-04T23:19:30Z
Locally acquired - contact of confirmed case,17950,25,1641,2,262,152,141,15648,79,2021-04-04,2021-04-04T23:19:30Z
Locally acquired - unknown contact,4282,1,449,0,42,9,5,3762,14,2021-04-04,2021-04-04T23:19:30Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-04-04,2021-04-04T23:19:30Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-04-04,2021-04-04T23:19:30Z
Tests in last 7 days,426930,5771,92962,7076,169539,23060,6775,105838,15909,2021-04-04,2021-04-04T23:19:30Z
"Tests in last 7 days per 100,000 population",1684,1354,1150,2875,3329,1316,1267,1605,607,2021-04-04,2021-04-04T23:19:30Z
Total tests conducted,15865399,190613,5409473,154493,2305574,1187106,196397,5474659,947084,2021-04-04,2021-04-04T23:19:30Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-04-04,2021-04-04T23:19:30Z
