name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,1,0,0,0,1,0,0,0,0,2021-03-26,2021-03-26T23:18:51Z
Overseas acquired last 24 hours,9,0,3,0,6,0,0,0,0,2021-03-26,2021-03-26T23:18:51Z
Active cases,144,1,57,0,65,11,0,0,10,2021-03-26,2021-03-26T23:18:51Z
Total cases,29240,123,5278,106,1437,645,234,20483,934,2021-03-26,2021-03-26T23:18:51Z
Total deaths,909,3,54,0,6,4,13,820,9,2021-03-26,2021-03-26T23:18:51Z
Overseas,6872,94,3099,102,1127,458,85,1073,834,2021-03-26,2021-03-26T23:18:51Z
Locally acquired - contact of confirmed case,17936,25,1644,2,245,152,141,15648,79,2021-03-26,2021-03-26T23:18:51Z
Locally acquired - unknown contact,4278,1,445,0,42,9,5,3762,14,2021-03-26,2021-03-26T23:18:51Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-03-26,2021-03-26T23:18:51Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-03-26,2021-03-26T23:18:51Z
Tests in last 7 days,257116,2411,72006,5554,41963,16888,4242,98414,15638,2021-03-26,2021-03-26T23:18:51Z
"Tests in last 7 days per 100,000 population",1014,566,891,2257,824,964,793,1493,596,2021-03-26,2021-03-26T23:18:51Z
Total tests conducted,15373401,184203,5300051,145704,2117806,1159015,188620,5346827,931175,2021-03-26,2021-03-26T23:18:51Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-03-26,2021-03-26T23:18:51Z
