name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired last 24 hours,1,0,1,0,0,0,0,0,0,2021-03-15,2021-03-15T23:20:22Z
Overseas acquired last 24 hours,13,0,3,0,6,3,0,0,1,2021-03-15,2021-03-15T23:20:22Z
Active cases,113,5,50,0,36,10,0,2,10,2021-03-15,2021-03-15T23:20:22Z
Total cases,29130,123,5240,105,1386,634,234,20483,925,2021-03-15,2021-03-15T23:20:22Z
Total deaths,909,3,54,0,6,4,13,820,9,2021-03-15,2021-03-15T23:20:22Z
Overseas,6765,94,3062,101,1078,447,85,1073,825,2021-03-15,2021-03-15T23:20:22Z
Locally acquired - contact of confirmed case,17933,25,1641,2,244,152,141,15648,80,2021-03-15,2021-03-15T23:20:22Z
Locally acquired - unknown contact,4278,1,447,0,41,9,5,3762,13,2021-03-15,2021-03-15T23:20:22Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-03-15,2021-03-15T23:20:22Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-03-15,2021-03-15T23:20:22Z
Tests in last 7 days,269631,3469,75006,5199,42926,19917,3674,102021,17419,2021-03-15,2021-03-15T23:20:22Z
"Tests in last 7 days per 100,000 population",1063,814,928,2113,843,1137,687,1547,664,2021-03-15,2021-03-15T23:20:22Z
Total tests conducted,14933604,179555,5181612,136368,2042714,1130470,181680,5176595,904610,2021-03-15,2021-03-15T23:20:22Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-03-15,2021-03-15T23:20:22Z
