name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,0,0,0,0,0,0,0,0,0,2021-04-14,2021-04-14T23:18:12Z
Overseas acquired last 24 hours,13,0,3,1,1,1,0,0,7,2021-04-14,2021-04-14T23:18:12Z
Active cases,151,0,57,5,55,14,0,3,17,2021-04-14,2021-04-14T23:18:12Z
Total cases,29451,123,5347,113,1508,675,234,20487,964,2021-04-14,2021-04-14T23:18:12Z
Total deaths,910,3,54,0,7,4,13,820,9,2021-04-14,2021-04-14T23:18:12Z
Overseas,7064,94,3167,109,1180,488,85,1077,864,2021-04-14,2021-04-14T23:18:12Z
Locally acquired - contact of confirmed case,17950,25,1640,2,264,152,141,15647,79,2021-04-14,2021-04-14T23:18:12Z
Locally acquired - unknown contact,4283,1,450,0,41,9,5,3763,14,2021-04-14,2021-04-14T23:18:12Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-04-14,2021-04-14T23:18:12Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-04-14,2021-04-14T23:18:12Z
Tests in last 7 days,266573,2633,67353,5704,50215,23526,4482,92716,19944,2021-04-14,2021-04-14T23:18:12Z
"Tests in last 7 days per 100,000 population",1051,618,833,2318,986,1343,838,1406,761,2021-04-14,2021-04-14T23:18:12Z
Total tests conducted,16220191,194398,5494494,162722,2377003,1218552,202037,5593551,977434,2021-04-14,2021-04-14T23:18:12Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-04-14,2021-04-14T23:18:12Z
