name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,0,0,0,0,0,0,0,0,0,2021-03-19,2021-03-19T23:15:31Z
Overseas acquired last 24 hours,16,0,5,0,9,0,0,0,2,2021-03-19,2021-03-19T23:15:31Z
Active cases,129,4,56,1,39,15,0,2,12,2021-03-19,2021-03-19T23:15:31Z
Total cases,29183,123,5256,106,1411,641,234,20483,929,2021-03-19,2021-03-19T23:15:31Z
Total deaths,909,3,54,0,6,4,13,820,9,2021-03-19,2021-03-19T23:15:31Z
Overseas,6816,94,3077,102,1102,454,85,1073,829,2021-03-19,2021-03-19T23:15:31Z
Locally acquired - contact of confirmed case,17935,25,1643,2,245,152,141,15648,79,2021-03-19,2021-03-19T23:15:31Z
Locally acquired - unknown contact,4278,1,446,0,41,9,5,3762,14,2021-03-19,2021-03-19T23:15:31Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-03-19,2021-03-19T23:15:31Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-03-19,2021-03-19T23:15:31Z
Tests in last 7 days,281374,3446,73895,5873,48188,19142,3761,109508,17561,2021-03-19,2021-03-19T23:15:31Z
"Tests in last 7 days per 100,000 population",1110,809,914,2386,946,1092,704,1661,670,2021-03-19,2021-03-19T23:15:31Z
Total tests conducted,15116285,181792,5228045,140150,2075843,1142127,184378,5248413,915537,2021-03-19,2021-03-19T23:15:31Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-03-19,2021-03-19T23:15:31Z
