name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired last 24 hours,0,0,0,0,0,0,0,0,0,2021-03-10,2021-03-10T23:18:04Z
Overseas acquired last 24 hours,14,1,5,0,5,1,0,0,2,2021-03-10,2021-03-10T23:18:04Z
Active cases,117,5,60,0,33,4,0,6,9,2021-03-10,2021-03-10T23:18:04Z
Total cases,29075,123,5220,105,1368,621,234,20483,921,2021-03-10,2021-03-10T23:18:04Z
Total deaths,909,3,54,0,6,4,13,820,9,2021-03-10,2021-03-10T23:18:04Z
Overseas,6712,94,3043,101,1061,434,85,1073,821,2021-03-10,2021-03-10T23:18:04Z
Locally acquired - contact of confirmed case,17932,25,1641,2,243,152,141,15648,80,2021-03-10,2021-03-10T23:18:04Z
Locally acquired - unknown contact,4277,1,446,0,41,9,5,3762,13,2021-03-10,2021-03-10T23:18:04Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-03-10,2021-03-10T23:18:04Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-03-10,2021-03-10T23:18:04Z
Tests in last 7 days,272299,3558,82016,5560,41974,16509,3617,100275,18790,2021-03-10,2021-03-10T23:18:04Z
"Tests in last 7 days per 100,000 population",1074,835,1014,2259,824,942,677,1521,717,2021-03-10,2021-03-10T23:18:04Z
Total tests conducted,14738885,177248,5128965,132691,2012660,1115399,179006,5100039,892877,2021-03-10,2021-03-10T23:18:04Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-03-10,2021-03-10T23:18:04Z
