name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,0,0,0,0,0,0,0,0,0,2021-04-21,2021-04-21T23:19:35Z
Overseas acquired last 24 hours,19,0,8,3,1,2,0,3,2,2021-04-21,2021-04-21T23:19:35Z
Active cases,186,0,78,21,20,22,0,17,28,2021-04-21,2021-04-21T23:19:35Z
Total cases,29578,123,5395,132,1519,693,234,20502,980,2021-04-21,2021-04-21T23:19:35Z
Total deaths,910,3,54,0,7,4,13,820,9,2021-04-21,2021-04-21T23:19:35Z
Overseas,7188,94,3212,128,1191,506,85,1092,880,2021-04-21,2021-04-21T23:19:35Z
Locally acquired - contact of confirmed case,17953,25,1643,2,264,152,141,15647,79,2021-04-21,2021-04-21T23:19:35Z
Locally acquired - unknown contact,4283,1,450,0,41,9,5,3763,14,2021-04-21,2021-04-21T23:19:35Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-04-21,2021-04-21T23:19:35Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-04-21,2021-04-21T23:19:35Z
Tests in last 7 days,231539,2382,63208,6272,37139,19417,3866,82798,16457,2021-04-21,2021-04-21T23:19:35Z
"Tests in last 7 days per 100,000 population",913,559,782,2549,729,1108,723,1256,628,2021-04-21,2021-04-21T23:19:35Z
Total tests conducted,16451730,196780,5557702,168994,2414142,1237969,205903,5676349,993891,2021-04-21,2021-04-21T23:19:35Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-04-21,2021-04-21T23:19:35Z
