name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,2,0,0,0,2,0,0,0,0,2021-03-31,2021-04-01T06:08:36Z
Overseas acquired last 24 hours,8,0,3,0,1,0,0,0,4,2021-03-31,2021-04-01T06:08:36Z
Active cases,159,0,52,2,78,11,0,1,15,2021-03-31,2021-04-01T06:08:36Z
Total cases,29304,123,5291,108,1467,655,234,20484,942,2021-03-31,2021-04-01T06:08:36Z
Total deaths,909,3,54,0,6,4,13,820,9,2021-03-31,2021-04-01T06:08:36Z
Overseas,6922,94,3112,104,1143,468,85,1074,842,2021-03-31,2021-04-01T06:08:36Z
Locally acquired - contact of confirmed case,17947,25,1643,2,257,152,141,15648,79,2021-03-31,2021-04-01T06:08:36Z
Locally acquired - unknown contact,4281,1,446,0,44,9,5,3762,14,2021-03-31,2021-04-01T06:08:36Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-03-31,2021-04-01T06:08:36Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-03-31,2021-04-01T06:08:36Z
Tests in last 7 days,317642,4943,69255,7228,91948,20889,4768,100164,18447,2021-03-31,2021-04-01T06:08:36Z
"Tests in last 7 days per 100,000 population",1253,1160,857,2937,1806,1192,892,1519,704,2021-03-31,2021-04-01T06:08:36Z
Total tests conducted,15613220,188408,5349244,151038,2195658,1175046,191816,5417745,944265,2021-03-31,2021-04-01T06:08:36Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-03-31,2021-04-01T06:08:36Z
