name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,0,0,0,0,0,0,0,0,0,2021-04-22,2021-04-22T23:19:22Z
Overseas acquired last 24 hours,22,0,7,5,0,6,0,2,2,2021-04-22,2021-04-22T23:19:22Z
Active cases,201,0,80,26,17,30,0,19,29,2021-04-22,2021-04-22T23:19:22Z
Total cases,29602,123,5400,137,1520,702,234,20504,982,2021-04-22,2021-04-22T23:19:22Z
Total deaths,910,3,54,0,7,4,13,820,9,2021-04-22,2021-04-22T23:19:22Z
Overseas,7210,94,3217,133,1192,515,85,1094,880,2021-04-22,2021-04-22T23:19:22Z
Locally acquired - contact of confirmed case,17955,25,1643,2,264,152,141,15647,81,2021-04-22,2021-04-22T23:19:22Z
Locally acquired - unknown contact,4283,1,450,0,41,9,5,3763,14,2021-04-22,2021-04-22T23:19:22Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-04-22,2021-04-22T23:19:22Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-04-22,2021-04-22T23:19:22Z
Tests in last 7 days,224319,2225,62924,5984,34176,19028,3801,79709,16472,2021-04-22,2021-04-22T23:19:22Z
"Tests in last 7 days per 100,000 population",885,522,778,2432,671,1086,711,1209,628,2021-04-22,2021-04-22T23:19:22Z
Total tests conducted,16488916,197020,5567966,169911,2419307,1241248,206612,5690300,996552,2021-04-22,2021-04-22T23:19:22Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-04-22,2021-04-22T23:19:22Z
