name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,0,0,0,0,0,0,0,0,0,2021-04-18,2021-04-18T23:17:53Z
Overseas acquired last 24 hours,14,0,6,0,2,0,0,0,6,2021-04-18,2021-04-18T23:17:53Z
Active cases,155,0,70,11,28,13,0,10,23,2021-04-18,2021-04-18T23:17:53Z
Total cases,29519,123,5376,119,1518,682,234,20494,973,2021-04-18,2021-04-18T23:17:53Z
Total deaths,910,3,54,0,7,4,13,820,9,2021-04-18,2021-04-18T23:17:53Z
Overseas,7129,94,3193,115,1190,495,85,1084,873,2021-04-18,2021-04-18T23:17:53Z
Locally acquired - contact of confirmed case,17953,25,1643,2,264,152,141,15647,79,2021-04-18,2021-04-18T23:17:53Z
Locally acquired - unknown contact,4283,1,450,0,41,9,5,3763,14,2021-04-18,2021-04-18T23:17:53Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-04-18,2021-04-18T23:17:53Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-04-18,2021-04-18T23:17:53Z
Tests in last 7 days,243886,2424,62782,5731,40906,20505,4103,88078,19357,2021-04-18,2021-04-18T23:17:53Z
"Tests in last 7 days per 100,000 population",962,569,776,2329,803,1170,767,1336,738,2021-04-18,2021-04-18T23:17:53Z
Total tests conducted,16357455,195604,5532308,166081,2400577,1230126,204493,5645786,982480,2021-04-18,2021-04-18T23:17:53Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-04-18,2021-04-18T23:17:53Z
