name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired last 24 hours,0,0,0,0,0,0,0,0,0,2021-03-11,2021-03-11T23:16:05Z
Overseas acquired last 24 hours,13,0,6,0,5,1,0,0,1,2021-03-11,2021-03-11T23:16:05Z
Active cases,113,5,57,0,37,3,0,3,8,2021-03-11,2021-03-11T23:16:05Z
Total cases,29090,123,5226,105,1373,624,234,20483,922,2021-03-11,2021-03-11T23:16:05Z
Total deaths,909,3,54,0,6,4,13,820,9,2021-03-11,2021-03-11T23:16:05Z
Overseas,6727,94,3049,101,1066,437,85,1073,822,2021-03-11,2021-03-11T23:16:05Z
Locally acquired - contact of confirmed case,17932,25,1641,2,243,152,141,15648,80,2021-03-11,2021-03-11T23:16:05Z
Locally acquired - unknown contact,4277,1,446,0,41,9,5,3762,13,2021-03-11,2021-03-11T23:16:05Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-03-11,2021-03-11T23:16:05Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-03-11,2021-03-11T23:16:05Z
Tests in last 7 days,274261,3523,81296,5558,42823,17539,3708,101181,18633,2021-03-11,2021-03-11T23:16:05Z
"Tests in last 7 days per 100,000 population",1082,827,1005,2258,841,1001,694,1534,711,2021-03-11,2021-03-11T23:16:05Z
Total tests conducted,14789896,177910,5143100,133607,2020693,1119221,179832,5120078,895455,2021-03-11,2021-03-11T23:16:05Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-03-11,2021-03-11T23:16:05Z
