name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,0,0,0,0,0,0,0,0,0,2021-04-10,2021-04-10T23:19:03Z
Overseas acquired last 24 hours,6,0,4,0,1,0,0,1,0,2021-04-10,2021-04-10T23:19:03Z
Active cases,128,0,43,5,63,7,0,1,9,2021-04-10,2021-04-10T23:19:03Z
Total cases,29396,123,5324,112,1502,665,234,20485,951,2021-04-10,2021-04-10T23:19:03Z
Total deaths,909,3,54,0,6,4,13,820,9,2021-04-10,2021-04-10T23:19:03Z
Overseas,7010,94,3144,108,1175,478,85,1075,851,2021-04-10,2021-04-10T23:19:03Z
Locally acquired - contact of confirmed case,17949,25,1640,2,263,152,141,15647,79,2021-04-10,2021-04-10T23:19:03Z
Locally acquired - unknown contact,4283,1,450,0,41,9,5,3763,14,2021-04-10,2021-04-10T23:19:03Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-04-10,2021-04-10T23:19:03Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-04-10,2021-04-10T23:19:03Z
Tests in last 7 days,250280,2592,58375,5893,62398,20426,3952,80605,16039,2021-04-10,2021-04-10T23:19:03Z
"Tests in last 7 days per 100,000 population",987,608,722,2395,1225,1166,739,1222,612,2021-04-10,2021-04-10T23:19:03Z
Total tests conducted,16083324,192984,5461599,159802,2353961,1206196,199971,5545688,963123,2021-04-10,2021-04-10T23:19:03Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-04-10,2021-04-10T23:19:03Z
