name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,0,0,0,0,0,0,0,0,0,2021-03-21,2021-03-21T23:15:59Z
Overseas acquired last 24 hours,4,0,2,0,2,0,0,0,0,2021-03-21,2021-03-21T23:15:59Z
Active cases,147,4,57,1,58,14,0,1,12,2021-03-21,2021-03-21T23:15:59Z
Total cases,29196,123,5261,106,1417,642,234,20483,930,2021-03-21,2021-03-21T23:15:59Z
Total deaths,909,3,54,0,6,4,13,820,9,2021-03-21,2021-03-21T23:15:59Z
Overseas,6829,94,3082,102,1108,455,85,1073,830,2021-03-21,2021-03-21T23:15:59Z
Locally acquired - contact of confirmed case,17935,25,1643,2,245,152,141,15648,79,2021-03-21,2021-03-21T23:15:59Z
Locally acquired - unknown contact,4278,1,446,0,41,9,5,3762,14,2021-03-21,2021-03-21T23:15:59Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-03-21,2021-03-21T23:15:59Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-03-21,2021-03-21T23:15:59Z
Tests in last 7 days,286440,3145,80790,5854,49199,17944,3938,108009,17561,2021-03-21,2021-03-21T23:15:59Z
"Tests in last 7 days per 100,000 population",1130,738,999,2379,966,1024,737,1638,670,2021-03-21,2021-03-21T23:15:59Z
Total tests conducted,15187732,182300,5254203,141418,2087537,1146471,185358,5274908,915537,2021-03-21,2021-03-21T23:15:59Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-03-21,2021-03-21T23:15:59Z
