name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,0,0,0,0,0,0,0,0,0,2021-04-08,2021-04-08T23:19:46Z
Overseas acquired last 24 hours,5,0,2,0,3,0,0,0,0,2021-04-08,2021-04-08T23:19:46Z
Active cases,145,0,45,5,73,8,0,0,14,2021-04-08,2021-04-08T23:19:46Z
Total cases,29385,123,5318,112,1500,663,234,20484,951,2021-04-08,2021-04-08T23:19:46Z
Total deaths,909,3,54,0,6,4,13,820,9,2021-04-08,2021-04-08T23:19:46Z
Overseas,6999,94,3138,108,1173,476,85,1074,851,2021-04-08,2021-04-08T23:19:46Z
Locally acquired - contact of confirmed case,17950,25,1640,2,263,152,141,15648,79,2021-04-08,2021-04-08T23:19:46Z
Locally acquired - unknown contact,4282,1,450,0,41,9,5,3762,14,2021-04-08,2021-04-08T23:19:46Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-04-08,2021-04-08T23:19:46Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-04-08,2021-04-08T23:19:46Z
Tests in last 7 days,299281,2675,69132,5604,106433,20135,4734,76951,13617,2021-04-08,2021-04-08T23:19:46Z
"Tests in last 7 days per 100,000 population",1180,628,855,2277,2090,1149,886,1167,519,2021-04-08,2021-04-08T23:19:46Z
Total tests conducted,15998167,192280,5438835,157866,2336802,1199129,198428,5514126,960701,2021-04-08,2021-04-08T23:19:46Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-04-08,2021-04-08T23:19:46Z
