name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Active cases,234,0,92,49,16,23,0,23,31,2021-04-25,2021-04-25T23:19:32Z
Locally acquired last 24 hours,1,0,0,0,0,0,0,0,1,2021-04-25,2021-04-25T23:19:32Z
Overseas acquired last 24 hours,7,0,1,1,2,1,0,1,1,2021-04-25,2021-04-25T23:19:32Z
Under investigation last 24 hours,2,0,0,0,0,2,0,0,0,2021-04-25,2021-04-25T23:19:32Z
Locally acquired last 7 days,3,0,0,0,0,0,0,1,2,2021-04-25,2021-04-25T23:19:32Z
Overseas acquired last 7 days,134,0,44,41,8,16,0,14,11,2021-04-25,2021-04-25T23:19:32Z
Under investigation last 7 days,6,0,0,0,2,4,0,0,0,2021-04-25,2021-04-25T23:19:32Z
Overseas,7269,94,3237,156,1201,516,85,1098,882,2021-04-25,2021-04-25T23:19:32Z
Locally acquired - contact of confirmed case,17958,25,1643,2,264,152,141,15648,83,2021-04-25,2021-04-25T23:19:32Z
Locally acquired - unknown contact,4283,1,450,0,41,9,5,3763,14,2021-04-25,2021-04-25T23:19:32Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-04-25,2021-04-25T23:19:32Z
Under investigation,2,0,0,0,0,2,0,0,0,2021-04-25,2021-04-25T23:19:32Z
Total cases,29666,123,5420,160,1529,705,234,20509,986,2021-04-25,2021-04-25T23:19:32Z
Total deaths,910,3,54,0,7,4,13,820,9,2021-04-25,2021-04-25T23:19:32Z
Tests in last 7 days,230124,2338,61918,6708,33839,20095,3829,84767,16630,2021-04-25,2021-04-25T23:19:32Z
"Tests in last 7 days per 100,000 population",908,549,766,2726,664,1147,716,1286,634,2021-04-25,2021-04-25T23:19:32Z
Total tests,16587579,197942,5594226,172789,2434416,1250221,208322,5730553,999110,2021-04-25,2021-04-25T23:19:32Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-04-25,2021-04-25T23:19:32Z
