name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,0,0,0,0,0,0,0,0,0,2021-04-12,2021-04-12T23:20:27Z
Overseas acquired last 24 hours,13,0,9,0,1,0,0,2,1,2021-04-12,2021-04-12T23:20:27Z
Active cases,131,0,52,4,57,5,0,3,10,2021-04-12,2021-04-12T23:20:27Z
Total cases,29419,123,5339,112,1504,666,234,20487,954,2021-04-12,2021-04-12T23:20:27Z
Total deaths,909,3,54,0,6,4,13,820,9,2021-04-12,2021-04-12T23:20:27Z
Overseas,7032,94,3159,108,1176,479,85,1077,854,2021-04-12,2021-04-12T23:20:27Z
Locally acquired - contact of confirmed case,17950,25,1640,2,264,152,141,15647,79,2021-04-12,2021-04-12T23:20:27Z
Locally acquired - unknown contact,4283,1,450,0,41,9,5,3763,14,2021-04-12,2021-04-12T23:20:27Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-04-12,2021-04-12T23:20:27Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-04-12,2021-04-12T23:20:27Z
Tests in last 7 days,253410,2686,59278,6057,50361,21687,3966,85475,23900,2021-04-12,2021-04-12T23:20:27Z
"Tests in last 7 days per 100,000 population",999,630,733,2461,989,1238,742,1296,912,2021-04-12,2021-04-12T23:20:27Z
Total tests conducted,16145886,193491,5476724,160990,2363449,1212292,200745,5567211,970984,2021-04-12,2021-04-12T23:20:27Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-04-12,2021-04-12T23:20:27Z
