name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,0,0,0,0,0,0,0,0,0,2021-04-15,2021-04-15T23:18:09Z
Overseas acquired last 24 hours,17,0,9,0,0,2,0,5,1,2021-04-15,2021-04-15T23:18:09Z
Active cases,155,0,61,5,51,12,0,8,18,2021-04-15,2021-04-15T23:18:09Z
Total cases,29469,123,5356,113,1509,677,234,20492,965,2021-04-15,2021-04-15T23:18:09Z
Total deaths,910,3,54,0,7,4,13,820,9,2021-04-15,2021-04-15T23:18:09Z
Overseas,7082,94,3176,109,1181,490,85,1082,865,2021-04-15,2021-04-15T23:18:09Z
Locally acquired - contact of confirmed case,17950,25,1640,2,264,152,141,15647,79,2021-04-15,2021-04-15T23:18:09Z
Locally acquired - unknown contact,4283,1,450,0,41,9,5,3763,14,2021-04-15,2021-04-15T23:18:09Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-04-15,2021-04-15T23:18:09Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-04-15,2021-04-15T23:18:09Z
Tests in last 7 days,266430,2515,66207,6061,48329,23091,4383,96465,19379,2021-04-15,2021-04-15T23:18:09Z
"Tests in last 7 days per 100,000 population",1051,590,819,2463,949,1318,820,1463,739,2021-04-15,2021-04-15T23:18:09Z
Total tests conducted,16264597,194795,5505042,163927,2385131,1222220,202811,5610591,980080,2021-04-15,2021-04-15T23:18:09Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-04-15,2021-04-15T23:18:09Z
