name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,0,0,0,0,0,0,0,0,0,2021-04-06,2021-04-06T23:19:08Z
Overseas acquired last 24 hours,9,0,7,0,0,0,0,0,2,2021-04-06,2021-04-06T23:19:08Z
Active cases,149,0,41,6,75,8,0,1,18,2021-04-06,2021-04-06T23:19:08Z
Total cases,29365,123,5310,112,1491,661,234,20484,950,2021-04-06,2021-04-06T23:19:08Z
Total deaths,909,3,54,0,6,4,13,820,9,2021-04-06,2021-04-06T23:19:08Z
Overseas,6979,94,3130,108,1164,474,85,1074,850,2021-04-06,2021-04-06T23:19:08Z
Locally acquired - contact of confirmed case,17949,25,1640,2,262,152,141,15648,79,2021-04-06,2021-04-06T23:19:08Z
Locally acquired - unknown contact,4283,1,450,0,42,9,5,3762,14,2021-04-06,2021-04-06T23:19:08Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-04-06,2021-04-06T23:19:08Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-04-06,2021-04-06T23:19:08Z
Tests in last 7 days,392613,4046,90414,5793,156186,22541,6507,93413,13713,2021-04-06,2021-04-06T23:19:08Z
"Tests in last 7 days per 100,000 population",1548,949,1118,2354,3067,1286,1217,1417,523,2021-04-06,2021-04-06T23:19:08Z
Total tests conducted,15921057,191107,5422265,155455,2318436,1192514,197119,5489089,955072,2021-04-06,2021-04-06T23:19:08Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-04-06,2021-04-06T23:19:08Z
