name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,0,0,0,0,0,0,0,0,0,2021-04-02,2021-04-02T23:19:42Z
Overseas acquired last 24 hours,12,0,0,3,7,2,0,0,0,2021-04-02,2021-04-02T23:19:42Z
Active cases,159,0,42,5,82,13,0,1,16,2021-04-02,2021-04-02T23:19:42Z
Total cases,29335,123,5296,111,1485,658,234,20484,944,2021-04-02,2021-04-02T23:19:42Z
Total deaths,909,3,54,0,6,4,13,820,9,2021-04-02,2021-04-02T23:19:42Z
Overseas,6950,94,3116,107,1159,471,85,1074,844,2021-04-02,2021-04-02T23:19:42Z
Locally acquired - contact of confirmed case,17949,25,1641,2,261,152,141,15648,79,2021-04-02,2021-04-02T23:19:42Z
Locally acquired - unknown contact,4282,1,449,0,42,9,5,3762,14,2021-04-02,2021-04-02T23:19:42Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-04-02,2021-04-02T23:19:42Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-04-02,2021-04-02T23:19:42Z
Tests in last 7 days,403565,5962,89713,7496,147920,23607,6781,106177,15909,2021-04-02,2021-04-02T23:19:42Z
"Tests in last 7 days per 100,000 population",1591,1399,1110,3046,2905,1347,1268,1610,607,2021-04-02,2021-04-02T23:19:42Z
Total tests conducted,15776966,190165,5389764,153200,2265726,1182622,195401,5453004,947084,2021-04-02,2021-04-02T23:19:42Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-04-02,2021-04-02T23:19:42Z
