name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,0,0,0,0,0,0,0,0,0,2021-04-09,2021-04-09T23:19:35Z
Overseas acquired last 24 hours,5,0,2,0,1,2,0,0,0,2021-04-09,2021-04-09T23:19:35Z
Active cases,134,0,41,5,68,10,0,0,10,2021-04-09,2021-04-09T23:19:35Z
Total cases,29390,123,5320,112,1501,665,234,20484,951,2021-04-09,2021-04-09T23:19:35Z
Total deaths,909,3,54,0,6,4,13,820,9,2021-04-09,2021-04-09T23:19:35Z
Overseas,7004,94,3140,108,1174,478,85,1074,851,2021-04-09,2021-04-09T23:19:35Z
Locally acquired - contact of confirmed case,17949,25,1640,2,263,152,141,15647,79,2021-04-09,2021-04-09T23:19:35Z
Locally acquired - unknown contact,4283,1,450,0,41,9,5,3763,14,2021-04-09,2021-04-09T23:19:35Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-04-09,2021-04-09T23:19:35Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-04-09,2021-04-09T23:19:35Z
Tests in last 7 days,272189,2476,63149,5843,80810,20457,3830,79585,16039,2021-04-09,2021-04-09T23:19:35Z
"Tests in last 7 days per 100,000 population",1073,581,781,2374,1587,1167,716,1207,612,2021-04-09,2021-04-09T23:19:35Z
Total tests conducted,16049155,192641,5452913,159043,2346536,1203079,199231,5532589,963123,2021-04-09,2021-04-09T23:19:35Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-04-09,2021-04-09T23:19:35Z
