name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,0,0,0,0,0,0,0,0,0,2021-03-24,2021-03-24T23:25:14Z
Overseas acquired last 24 hours,10,0,3,0,4,2,0,0,1,2021-03-24,2021-03-24T23:25:14Z
Active cases,149,3,60,1,60,15,0,0,10,2021-03-24,2021-03-24T23:25:14Z
Total cases,29220,123,5272,106,1426,644,234,20483,932,2021-03-24,2021-03-24T23:25:14Z
Total deaths,909,3,54,0,6,4,13,820,9,2021-03-24,2021-03-24T23:25:14Z
Overseas,6853,94,3093,102,1117,457,85,1073,832,2021-03-24,2021-03-24T23:25:14Z
Locally acquired - contact of confirmed case,17936,25,1644,2,245,152,141,15648,79,2021-03-24,2021-03-24T23:25:14Z
Locally acquired - unknown contact,4277,1,445,0,41,9,5,3762,14,2021-03-24,2021-03-24T23:25:14Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-03-24,2021-03-24T23:25:14Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-03-24,2021-03-24T23:25:14Z
Tests in last 7 days,273871,2665,77865,5351,43675,17819,4053,106884,15559,2021-03-24,2021-03-24T23:25:14Z
"Tests in last 7 days per 100,000 population",1080,625,963,2174,858,1017,758,1621,593,2021-03-24,2021-03-24T23:25:14Z
Total tests conducted,15295578,183465,5279989,143810,2103710,1154157,187048,5317581,925818,2021-03-24,2021-03-24T23:25:14Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-03-24,2021-03-24T23:25:14Z
