name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,0,0,0,0,0,0,0,0,0,2021-03-23,2021-03-23T23:16:30Z
Overseas acquired last 24 hours,7,0,4,0,3,0,0,0,0,2021-03-23,2021-03-23T23:16:30Z
Active cases,145,4,58,1,58,14,0,0,10,2021-03-23,2021-03-23T23:16:30Z
Total cases,29211,123,5270,106,1422,642,234,20483,931,2021-03-23,2021-03-23T23:16:30Z
Total deaths,909,3,54,0,6,4,13,820,9,2021-03-23,2021-03-23T23:16:30Z
Overseas,6844,94,3091,102,1113,455,85,1073,831,2021-03-23,2021-03-23T23:16:30Z
Locally acquired - contact of confirmed case,17934,25,1642,2,245,152,141,15648,79,2021-03-23,2021-03-23T23:16:30Z
Locally acquired - unknown contact,4279,1,447,0,41,9,5,3762,14,2021-03-23,2021-03-23T23:16:30Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-03-23,2021-03-23T23:16:30Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-03-23,2021-03-23T23:16:30Z
Tests in last 7 days,280405,2723,79798,5444,45976,17895,3869,108617,16083,2021-03-23,2021-03-23T23:16:30Z
"Tests in last 7 days per 100,000 population",1106,639,987,2212,903,1021,724,1647,613,2021-03-23,2021-03-23T23:16:30Z
Total tests conducted,15247852,183001,5267667,142990,2095838,1150820,186238,5297850,923448,2021-03-23,2021-03-23T23:16:30Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-03-23,2021-03-23T23:16:30Z
