name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,0,0,0,0,0,0,0,0,0,2021-04-20,2021-04-20T23:19:13Z
Overseas acquired last 24 hours,15,0,3,6,0,2,0,1,3,2021-04-20,2021-04-20T23:19:13Z
Active cases,176,0,74,18,25,18,0,14,27,2021-04-20,2021-04-20T23:19:13Z
Total cases,29559,123,5387,129,1518,691,234,20499,978,2021-04-20,2021-04-20T23:19:13Z
Total deaths,910,3,54,0,7,4,13,820,9,2021-04-20,2021-04-20T23:19:13Z
Overseas,7169,94,3204,125,1190,504,85,1089,878,2021-04-20,2021-04-20T23:19:13Z
Locally acquired - contact of confirmed case,17953,25,1643,2,264,152,141,15647,79,2021-04-20,2021-04-20T23:19:13Z
Locally acquired - unknown contact,4283,1,450,0,41,9,5,3763,14,2021-04-20,2021-04-20T23:19:13Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-04-20,2021-04-20T23:19:13Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-04-20,2021-04-20T23:19:13Z
Tests in last 7 days,239583,2358,63525,6146,39952,19997,3799,86194,17612,2021-04-20,2021-04-20T23:19:13Z
"Tests in last 7 days per 100,000 population",945,553,786,2497,785,1141,711,1307,672,2021-04-20,2021-04-20T23:19:13Z
Total tests conducted,16413981,196306,5545759,167959,2408709,1234866,205085,5663743,991554,2021-04-20,2021-04-20T23:19:13Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-04-20,2021-04-20T23:19:13Z
