name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,0,0,0,0,0,0,0,0,0,2021-04-05,2021-04-05T23:20:29Z
Overseas acquired last 24 hours,10,0,3,0,4,2,0,0,1,2021-04-05,2021-04-05T23:20:29Z
Active cases,146,0,37,6,72,13,0,1,17,2021-04-05,2021-04-05T23:20:29Z
Total cases,29357,123,5303,112,1492,661,234,20484,948,2021-04-05,2021-04-05T23:20:29Z
Total deaths,909,3,54,0,6,4,13,820,9,2021-04-05,2021-04-05T23:20:29Z
Overseas,6971,94,3123,108,1165,474,85,1074,848,2021-04-05,2021-04-05T23:20:29Z
Locally acquired - contact of confirmed case,17950,25,1641,2,262,152,141,15648,79,2021-04-05,2021-04-05T23:20:29Z
Locally acquired - unknown contact,4282,1,449,0,42,9,5,3762,14,2021-04-05,2021-04-05T23:20:29Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-04-05,2021-04-05T23:20:29Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-04-05,2021-04-05T23:20:29Z
Tests in last 7 days,408921,5227,92898,6514,165427,24006,6824,98952,9073,2021-04-05,2021-04-05T23:20:29Z
"Tests in last 7 days per 100,000 population",1613,1227,1149,2647,3248,1370,1276,1501,346,2021-04-05,2021-04-05T23:20:29Z
Total tests conducted,15892476,190805,5417446,154933,2313088,1190605,196779,5481736,947084,2021-04-05,2021-04-05T23:20:29Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-04-05,2021-04-05T23:20:29Z
