name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,0,0,0,0,0,0,0,0,0,2021-03-25,2021-03-25T23:50:00Z
Overseas acquired last 24 hours,10,0,5,0,3,0,0,0,2,2021-03-25,2021-03-25T23:50:00Z
Active cases,150,3,57,1,67,12,0,0,10,2021-03-25,2021-03-25T23:50:00Z
Total cases,29228,123,5275,106,1429,644,234,20483,934,2021-03-25,2021-03-25T23:50:00Z
Total deaths,909,3,54,0,6,4,13,820,9,2021-03-25,2021-03-25T23:50:00Z
Overseas,6861,94,3096,102,1120,457,85,1073,834,2021-03-25,2021-03-25T23:50:00Z
Locally acquired - contact of confirmed case,17936,25,1644,2,245,152,141,15648,79,2021-03-25,2021-03-25T23:50:00Z
Locally acquired - unknown contact,4277,1,445,0,41,9,5,3762,14,2021-03-25,2021-03-25T23:50:00Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-03-25,2021-03-25T23:50:00Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-03-25,2021-03-25T23:50:00Z
Tests in last 7 days,262380,2544,73974,5363,42613,17152,4151,101040,15543,2021-03-25,2021-03-25T23:50:00Z
"Tests in last 7 days per 100,000 population",1035,597,915,2179,837,979,776,1532,593,2021-03-25,2021-03-25T23:50:00Z
Total tests conducted,15334583,183840,5290147,144652,2110222,1156493,187925,5333027,928277,2021-03-25,2021-03-25T23:50:00Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-03-25,2021-03-25T23:50:00Z
