name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,0,0,0,0,0,0,0,0,0,2021-03-16,2021-03-16T23:15:29Z
Overseas acquired last 24 hours,7,0,2,0,2,2,0,0,1,2021-03-16,2021-03-16T23:15:29Z
Active cases,113,5,46,0,38,12,0,2,10,2021-03-16,2021-03-16T23:15:29Z
Total cases,29137,123,5242,105,1388,636,234,20483,926,2021-03-16,2021-03-16T23:15:29Z
Total deaths,909,3,54,0,6,4,13,820,9,2021-03-16,2021-03-16T23:15:29Z
Overseas,6771,94,3064,101,1079,449,85,1073,826,2021-03-16,2021-03-16T23:15:29Z
Locally acquired - contact of confirmed case,17934,25,1641,2,245,152,141,15648,80,2021-03-16,2021-03-16T23:15:29Z
Locally acquired - unknown contact,4278,1,447,0,41,9,5,3762,13,2021-03-16,2021-03-16T23:15:29Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-03-16,2021-03-16T23:15:29Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-03-16,2021-03-16T23:15:29Z
Tests in last 7 days,275871,3771,74438,5649,44919,19717,3990,105808,17579,2021-03-16,2021-03-16T23:15:29Z
"Tests in last 7 days per 100,000 population",1088,885,921,2295,882,1125,746,1605,670,2021-03-16,2021-03-16T23:15:29Z
Total tests conducted,14967447,180278,5187869,137546,2049862,1132925,182369,5189233,907365,2021-03-16,2021-03-16T23:15:29Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-03-16,2021-03-16T23:15:29Z
