name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,0,0,0,0,0,0,0,0,0,2021-03-22,2021-03-22T23:16:02Z
Overseas acquired last 24 hours,10,0,5,0,4,0,0,0,1,2021-03-22,2021-03-22T23:16:02Z
Active cases,142,4,57,1,54,14,0,1,11,2021-03-22,2021-03-22T23:16:02Z
Total cases,29206,123,5266,106,1421,642,234,20483,931,2021-03-22,2021-03-22T23:16:02Z
Total deaths,909,3,54,0,6,4,13,820,9,2021-03-22,2021-03-22T23:16:02Z
Overseas,6839,94,3087,102,1112,455,85,1073,831,2021-03-22,2021-03-22T23:16:02Z
Locally acquired - contact of confirmed case,17934,25,1642,2,245,152,141,15648,79,2021-03-22,2021-03-22T23:16:02Z
Locally acquired - unknown contact,4279,1,447,0,41,9,5,3762,14,2021-03-22,2021-03-22T23:16:02Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-03-22,2021-03-22T23:16:02Z
Under investigation,0,0,0,0,0,0,0,0,0,2021-03-22,2021-03-22T23:16:02Z
Tests in last 7 days,284676,2955,80928,5708,48636,17902,4224,107706,16617,2021-03-22,2021-03-22T23:16:02Z
"Tests in last 7 days per 100,000 population",1123,693,1001,2319,955,1022,790,1633,634,2021-03-22,2021-03-22T23:16:02Z
Total tests conducted,15218280,182510,5262540,142076,2091350,1148372,185904,5284301,921227,2021-03-22,2021-03-22T23:16:02Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-03-22,2021-03-22T23:16:02Z
