name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,2,0,1,0,1,0,0,0,0,2021-04-01,2021-04-02T00:52:25Z
Overseas acquired last 24 hours,16,0,4,0,9,1,0,0,2,2021-04-01,2021-04-02T00:52:25Z
Active cases,151,0,48,2,71,12,0,1,17,2021-04-01,2021-04-02T00:52:25Z
Total cases,29322,123,5296,108,1477,656,234,20484,944,2021-04-01,2021-04-02T00:52:25Z
Total deaths,909,3,54,0,6,4,13,820,9,2021-04-01,2021-04-02T00:52:25Z
Overseas,6937,94,3116,104,1151,469,85,1074,844,2021-04-01,2021-04-02T00:52:25Z
Locally acquired - contact of confirmed case,17951,25,1644,2,260,152,141,15648,79,2021-04-01,2021-04-02T00:52:25Z
Locally acquired - unknown contact,4279,1,446,0,42,9,5,3762,14,2021-04-01,2021-04-02T00:52:25Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-04-01,2021-04-02T00:52:25Z
Under investigation,1,0,0,0,1,0,0,0,0,2021-04-01,2021-04-02T00:52:25Z
Tests in last 7 days,364303,5765,79556,7610,120147,22501,5769,104148,18807,2021-04-01,2021-04-02T00:52:25Z
"Tests in last 7 days per 100,000 population",1437,1353,984,3092,2359,1284,1079,1579,717,2021-04-01,2021-04-02T00:52:25Z
Total tests conducted,15698886,189605,5369703,152262,2230369,1178994,193694,5437175,947084,2021-04-01,2021-04-02T00:52:25Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-04-01,2021-04-02T00:52:25Z
