name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,1,0,0,0,1,0,0,0,0,2021-03-28,2021-03-28T23:18:49Z
Overseas acquired last 24 hours,7,0,0,2,2,2,0,0,1,2021-03-28,2021-03-28T23:18:49Z
Active cases,155,0,56,2,71,15,0,0,11,2021-03-28,2021-03-28T23:18:49Z
Total cases,29260,123,5281,108,1446,650,234,20483,935,2021-03-28,2021-03-28T23:18:49Z
Total deaths,909,3,54,0,6,4,13,820,9,2021-03-28,2021-03-28T23:18:49Z
Overseas,6890,94,3102,104,1134,463,85,1073,835,2021-03-28,2021-03-28T23:18:49Z
Locally acquired - contact of confirmed case,17937,25,1644,2,246,152,141,15648,79,2021-03-28,2021-03-28T23:18:49Z
Locally acquired - unknown contact,4278,1,445,0,42,9,5,3762,14,2021-03-28,2021-03-28T23:18:49Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-03-28,2021-03-28T23:18:49Z
Under investigation,1,0,0,0,1,0,0,0,0,2021-03-28,2021-03-28T23:18:49Z
Tests in last 7 days,250737,2542,62308,5999,48498,17575,4264,93913,15638,2021-03-28,2021-03-28T23:18:49Z
"Tests in last 7 days per 100,000 population",989,597,771,2438,952,1003,798,1424,596,2021-03-28,2021-03-28T23:18:49Z
Total tests conducted,15438469,184842,5316511,147417,2136035,1164046,189622,5368821,931175,2021-03-28,2021-03-28T23:18:49Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-03-28,2021-03-28T23:18:49Z
