name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired or Under investigation last 24 hours,8,0,0,0,8,0,0,0,0,2021-03-30,2021-03-30T23:19:49Z
Overseas acquired last 24 hours,7,0,5,0,2,0,0,0,0,2021-03-30,2021-03-30T23:19:49Z
Active cases,159,0,54,2,73,18,0,1,11,2021-03-30,2021-03-30T23:19:49Z
Total cases,29296,123,5288,108,1466,655,234,20484,938,2021-03-30,2021-03-30T23:19:49Z
Total deaths,909,3,54,0,6,4,13,820,9,2021-03-30,2021-03-30T23:19:49Z
Overseas,6914,94,3109,104,1142,468,85,1074,838,2021-03-30,2021-03-30T23:19:49Z
Locally acquired - contact of confirmed case,17946,25,1644,2,255,152,141,15648,79,2021-03-30,2021-03-30T23:19:49Z
Locally acquired - unknown contact,4280,1,445,0,44,9,5,3762,14,2021-03-30,2021-03-30T23:19:49Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-03-30,2021-03-30T23:19:49Z
Under investigation,2,0,0,0,2,0,0,0,0,2021-03-30,2021-03-30T23:19:49Z
Tests in last 7 days,280592,4060,64184,6672,66412,19153,4374,97826,17911,2021-03-30,2021-03-30T23:19:49Z
"Tests in last 7 days per 100,000 population",1107,953,794,2711,1304,1093,818,1484,683,2021-03-30,2021-03-30T23:19:49Z
Total tests conducted,15528444,187061,5331851,149662,2162250,1169973,190612,5395676,941359,2021-03-30,2021-03-30T23:19:49Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-03-30,2021-03-30T23:19:49Z
